a_increase,b_increase,a_decrease,b_decrease
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
26.31,-1.56,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
17.8,-1.03,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
15.1,-0.96,-28.2,1.03
